Name THE,Name QS,Type
Arizona State University,NA,THE
Autonomous University of Barcelona,105,THE
Case Western Reserve University,NA,THE
Charite - Universitatsmedizin Berlin,NA,THE
ETH Zurich  Swiss Federal Institute of Technology Zurich,67,THE
Free University of Berlin,70,THE
Georgetown University,NA,THE
Heidelberg University,92,THE
Humboldt University of Berlin,74,THE
Indiana University,NA,THE
Karlsruhe Institute of Technology,80,THE
Karolinska Institute,NA,THE
Korea Advanced Institute of Science and Technology,79,THE
LMU Munich,85,THE
Northeastern University,NA,THE
Paris Sciences et Lettres  PSL Research University Paris,NA,THE
Paris-Sorbonne University  Paris 4,NA,THE
Paris-Sud University,NA,THE
Pierre and Marie Curie University,107,THE
Pohang University of Science and Technology,89,THE
Pompeu Fabra University,NA,THE
Radboud University Nijmegen,NA,THE
"Royal Holloway, University of London",NA,THE
"Rutgers, the State University of New Jersey",NA,THE
Scuola Superiore SantAnna,93,THE
TU Dresden,NA,THE
Technical University of Berlin,94,THE
Tilburg University,NA,THE
Trinity College Dublin,97,THE
Tufts University,NA,THE
Ulm University,NA,THE
Universite Catholique de Louvain,108,THE
Universite Libre de Bruxelles,NA,THE
University College London,98,THE
University of Alabama at Birmingham,NA,THE
University of Arizona,NA,THE
University of Bonn,NA,THE
"University of California, Riverside",NA,THE
"University of California, Santa Cruz",NA,THE
University of Cologne,NA,THE
University of Dundee,NA,THE
University of East Anglia,NA,THE
University of Erlangen-Nuremberg,NA,THE
University of Freiburg,63,THE
University of Gothenburg,NA,THE
University of Leicester,NA,THE
University of Luxembourg,NA,THE
University of Mannheim,NA,THE
University of Massachusetts,NA,THE
University of Miami,NA,THE
University of Montreal,109,THE
University of Munster,NA,THE
University of North Carolina at Chapel Hill,114,THE
University of Notre Dame,NA,THE
University of Sussex,NA,THE
University of Tubingen,68,THE
University of Wurzburg,NA,THE
Vanderbilt University,NA,THE
Vrije Universiteit Amsterdam,120,THE
Wageningen University & Research,121,THE
New York University,1,THEQS
Albert-Ludwigs-Universitaet Freiburg,1,QS
Alma Mater Studiorum - University of Bologna,1,QS
CentraleSupelec,1,QS
Chalmers University of Technology,1,QS
ETH Zurich - Swiss Federal Institute of Technology,1,QS
Eberhard Karls Universitat Tubingen,1,QS
"Ecole normale superieure, Paris",1,QS
Freie Universitaet Berlin,1,QS
Hanyang University,1,QS
Hebrew University of Jerusalem,1,QS
Hokkaido University,1,QS
Humboldt-Universitat zu Berlin,1,QS
Indian Institute of Science  Bangalore,1,QS
Indian Institute of Technology Bombay,1,QS
Indian Institute of Technology Delhi,1,QS
Instituto Tecnologico y de Estudios Superiores de Monterrey,1,QS
KAIST - Korea Advanced Institute of Science & Technology,1,QS
"KIT, Karlsruhe Institute of Technology",1,QS
Keio University CEMS MIM,1,QS
King Fahd University of Petroleum & Minerals,1,QS
Korea University,1,QS
Kyushu University,1,QS
Ludwig-Maximilians-Universitat Munchen,1,QS
Nagoya University,1,QS
National Tsing Hua University,1,QS
Osaka University,1,QS
Pohang University of Science And Technology,1,QS
Politecnico di Milano,1,QS
Pontificia Universidad Catolica de Chile,1,QS
Ruprecht-Karls-Universitat Heidelberg,1,QS
Scuola Superiore SantAnna Pisa di Studi Universitari e di Perfezionamento,1,QS
Technische Universitat Berlin,1,QS
Tohoku University,1,QS
Tokyo Institute of Technology,1,QS
"Trinity College Dublin, University of Dublin",1,QS
UCL,1,QS
Universidad Autonoma de Madrid,1,QS
Universidad Nacional Autonoma de Mexico,1,QS
Universidad de Buenos Aires,1,QS
Universidad de Chile,1,QS
Universidade Estadual de Campinas,1,QS
Universidade de Sao Paulo,1,QS
Universitat Autonoma de Barcelona,1,QS
Universitat de Barcelona,1,QS
Universite Pierre et Marie Curie,1,QS
Universite catholique de Louvain,1,QS
Universite de Montreal,1,QS
Universiti Malaya,1,QS
University College Dublin,1,QS
University of Bath,1,QS
University of Bergen,1,QS
"University of North Carolina, Chapel Hill",1,QS
University of Otago,1,QS
University of Reading,1,QS
University of Technology Sydney,1,QS
University of Waterloo,1,QS
Vienna University of Technology,1,QS
Vrije Universiteit Brussel,1,QS
Wageningen University,1,QS
Yonsei University,1,QS